Company_Code,Company_Name,Market_Type,Security_Code,Sector,Market_Cap,Last_Price,PE,DY,ROE
AASIA,ASTRAL ASIA BERHAD,MAIN,7054,Plantation,79.20m,0.12,-,0.00,-3.10
AAX,AIRASIA X BERHAD,MAIN,5238,"Travel, Leisure & Hospitality",1.082b,2.42,-,0.00,-
ABFMY1,ABF MALAYSIA BOND INDEX FUND,ETF,0800EA,Bond Fund,1.702b,1.19,-,0.39,-
ABLEGLOB,ABLE GLOBAL BERHAD,MAIN,7167,Food & Beverages,403.61m,1.30,11.86,3.08,8.06
ABLEGRP,ABLEGROUP BERHAD,MAIN,7086,Building Materials,29.03m,0.11,100.00,0.00,0.69
ABMB,ALLIANCE BANK MALAYSIA BERHAD,MAIN,2488,Banking,5.171b,3.34,8.39,6.59,9.13
ACME,ACME HOLDINGS BERHAD,MAIN,7131,Property,99.24m,0.27,71.05,0.00,1.27
ACO,ACO GROUP BERHAD,ACE,0218,Industrial Services,79.90m,0.23,21.50,0.87,4.12
ADB,AUTOCOUNT DOTCOM BERHAD,ACE,0276,Software,363.33m,0.66,-,3.03,-
ADVCON,ADVANCECON HOLDINGS BERHAD,MAIN,5281,Construction,175.42m,0.30,-,0.00,-9.25
ADVENTA,ADVENTA BERHAD,MAIN,7191,Health Care Equipment & Services,63.41m,0.42,-,0.00,-14.92
ADVPKG,ADVANCED PACKAGING TECHNOLOGY (M) BHD,MAIN,9148,Packaging Materials,55.77m,0.68,-,0.00,-7.28
AEM,AE MULTI HOLDINGS BERHAD,MAIN,7146,"Industrial Materials, Components & Equipment",32.45m,0.02,-,0.00,-25.33
AEMULUS,AEMULUS HOLDINGS BERHAD,ACE,0181,Technology Equipment,211.07m,0.32,-,0.00,-8.42
AEON,AEON CO. (M) BHD,MAIN,6599,Retailers,1.558b,1.11,14.94,3.60,5.76
AEONCR,AEON CREDIT SERVICE (M) BERHAD,MAIN,5139,Other Financials,3.064b,12.00,7.69,4.12,15.93
AFFIN,AFFIN BANK BERHAD,MAIN,5185,Banking,4.951b,2.11,3.89,5.83,11.25
AFUJIYA,ABM FUJIYA BERHAD,MAIN,5198,Auto Parts,68.40m,0.38,-,0.00,-3.52
AGES,AGESON BERHAD,MAIN,7145,Construction,9.35m,0.03,-,0.00,-
AGMO,AGMO HOLDINGS BERHAD,ACE,0258,Software,201.50m,0.62,26.72,0.00,18.12
AHB,AHB HOLDINGS BERHAD,MAIN,7315,Consumer Services,85.16m,0.14,-,0.00,-31.13
AHEALTH,APEX HEALTHCARE BERHAD,MAIN,7090,Pharmaceuticals,1.753b,2.44,4.22,2.32,46.65
AIM,ADVANCE INFORMATION MARKETING BERHAD,ACE,0122,Industrial Services,19.51m,0.20,-,0.00,-66.75
AIMFLEX,AIMFLEX BERHAD,ACE,0209,Technology Equipment,316.59m,0.22,26.88,0.00,8.89
AIRPORT,MALAYSIA AIRPORTS HOLDINGS BERHAD,MAIN,5014,Transportation & Logistics Services,12.014b,7.20,23.52,0.54,6.64
AJI,AJINOMOTO (MALAYSIA) BERHAD,MAIN,2658,Food & Beverages,942.38m,15.50,23.24,0.59,7.57
AJIYA,AJIYA BERHAD,MAIN,7609,Building Materials,456.88m,1.50,6.30,0.00,14.80
ALAM,ALAM MARITIM RESOURCES BERHAD,MAIN,5115,"Energy Infrastructure, Equipment & Services",45.95m,0.03,2.78,0.00,-
ALAQAR,AL-`AQAR HEALTHCARE REIT,MAIN,5116,Real Estate Investment Trusts,1.058b,1.26,19.09,6.43,5.16
ALCOM,ALCOM GROUP BERHAD,MAIN,2674,Metals,107.46m,0.80,2.30,3.12,19.45
ALLIANZ,ALLIANZ MALAYSIA BERHAD,MAIN,1163,Insurance,2.823b,15.86,4.60,5.36,12.32
ALRICH,ALDRICH RESOURCES BERHAD,ACE,0079,Software,38.97m,0.04,70.00,0.00,2.27
ALSREIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,MAIN,5269,Real Estate Investment Trusts,263.90m,0.46,4.19,5.49,9.88
AMBANK,AMMB HOLDINGS BERHAD,MAIN,1015,Banking,12.395b,3.74,7.32,4.89,9.14
AME,AME ELITE CONSORTIUM BERHAD,MAIN,5293,Construction,941.79m,1.47,7.80,2.72,14.38
AMEDIA,ASIA MEDIA GROUP BERHAD,MAIN,0159,Media,35.80m,0.12,16.67,0.00,0.17
AMEREIT,AME REAL ESTATE INVESTMENT TRUST,MAIN,5307,Real Estate Investment Trusts,653.64m,1.25,10.69,3.03,10.89
AMFIRST,AMFIRST REAL ESTATE INVESTMENT TRUST,MAIN,5120,Real Estate Investment Trusts,229.94m,0.34,18.41,8.06,1.57
AMLEX,AMLEX HOLDINGS BERHAD,LEAP,03011,Semiconductors,115.29m,0.43,-,1.40,-
AMTEL,AMTEL HOLDINGS BERHAD,MAIN,7031,Telecommunications Equipment,61.34m,0.63,23.58,0.00,3.69
AMWAY,AMWAY (MALAYSIA) HOLDINGS BERHAD,MAIN,6351,Retailers,871.24m,5.30,11.02,7.17,32.27
